Education,Sex,Age,Activity,Sport,Family,IsAlone,SocialStatus,AgeRanges
3,0.0,0.3,0.014151035465422675,1.0,1,0.0,0.8922155688622755,3.0
1,1.0,0.5,0.13912907696211427,0.0,1,0.0,0.02994011976047904,4.0
3,1.0,0.3,0.015478304998731287,1.0,0,1.0,0.8922155688622755,3.0
1,1.0,0.4,0.10364413561571643,1.0,1,0.0,0.02395209580838324,3.0
3,0.0,0.4,0.015712529034021042,0.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.016512794487927702,0.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.7,0.10122382058438896,0.0,0,1.0,0.041916167664670656,5.0
3,0.0,0.0,0.0411453555325669,1.0,4,0.0,0.8383233532934131,1.0
3,1.0,0.3,0.021724279273124744,1.0,2,0.0,0.8922155688622755,3.0
2,1.0,0.2,0.05869263950969101,1.0,1,0.0,0.4431137724550898,2.0
3,1.0,0.1,0.03259617824449085,0.0,2,0.0,0.8562874251497006,2.0
1,1.0,0.7,0.05182206780785822,1.0,0,1.0,0.041916167664670656,5.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.5,0.06105439853219605,1.0,6,0.0,0.9281437125748504,4.0
3,1.0,0.2,0.01532215564187145,0.0,0,1.0,0.8742514970059879,2.0
2,1.0,0.7,0.031229871371967286,1.0,0,1.0,0.5029940119760479,5.0
3,0.0,0.0,0.05685788456658794,1.0,5,0.0,0.8383233532934131,1.0
2,0.0,0.3,0.02537427048972342,1.0,0,1.0,0.4550898203592814,3.0
3,1.0,0.4,0.0351336052934632,0.0,1,0.0,0.9101796407185628,3.0
3,1.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.4,0.05074854097944684,1.0,0,1.0,0.467065868263473,3.0
2,0.0,0.4,0.02537427048972342,1.0,0,1.0,0.467065868263473,3.0
3,1.0,0.2,0.015673491694806082,0.0,0,1.0,0.8742514970059879,2.0
1,0.0,0.4,0.06929127710655243,1.0,0,1.0,0.02395209580838324,3.0
3,1.0,0.1,0.0411453555325669,0.0,4,0.0,0.8562874251497006,2.0
3,1.0,0.5,0.061269103897878326,1.0,6,0.0,0.9281437125748504,4.0
3,0.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.2,0.5133410106767122,1.0,5,0.0,0.011976047904191616,2.0
3,1.0,0.3,0.015380711650693891,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.015419748989908846,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.5,0.054105752151933334,1.0,0,1.0,0.02994011976047904,4.0
1,1.0,0.3,0.28598754708879043,1.0,1,0.0,0.017964071856287425,3.0
3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.8,0.02049460308785353,0.0,0,1.0,0.5149700598802395,5.0
1,0.0,0.4,0.1603849081646595,0.0,1,0.0,0.02395209580838324,3.0
1,0.0,0.5,0.10149708195889368,1.0,1,0.0,0.02994011976047904,4.0
3,0.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.2,0.0351336052934632,0.0,2,0.0,0.8742514970059879,2.0
3,1.0,0.2,0.02193898463880702,1.0,1,0.0,0.8742514970059879,2.0
3,1.0,0.5,0.018503698787890616,1.0,1,0.0,0.9281437125748504,4.0
2,1.0,0.3,0.04098920617570707,0.0,1,0.0,0.4550898203592814,3.0
3,0.0,0.3,0.015419748989908846,1.0,0,1.0,0.8922155688622755,3.0
2,1.0,0.0,0.08115862822789999,0.0,3,0.0,0.41916167664670656,1.0
3,1.0,0.2,0.015380711650693891,1.0,0,1.0,0.8742514970059879,2.0
3,0.0,0.3,0.015712529034021042,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.030253937891593308,0.0,1,0.0,0.8922155688622755,3.0
3,1.0,0.3,0.015126968945796654,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.04231647570901567,0.0,2,0.0,0.8922155688622755,3.0
3,1.0,0.2,0.034743231901313607,1.0,1,0.0,0.8742514970059879,2.0
3,0.0,0.1,0.07746959967208635,1.0,5,0.0,0.8562874251497006,2.0
3,0.0,0.3,0.015224562293834053,1.0,0,1.0,0.8922155688622755,3.0
1,1.0,0.6,0.1497667518981906,1.0,1,0.0,0.03592814371257485,4.0
2,1.0,0.4,0.05074854097944684,1.0,1,0.0,0.467065868263473,3.0
1,0.0,0.8,0.12097671422715828,1.0,1,0.0,0.04790419161676647,5.0
1,0.0,0.3,0.06929127710655243,0.0,0,1.0,0.017964071856287425,3.0
2,1.0,0.3,0.02049460308785353,0.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.4,0.014111998126207718,1.0,0,1.0,0.9101796407185628,3.0
2,1.0,0.1,0.054164308160755764,1.0,3,0.0,0.4311377245508982,2.0
3,0.0,0.1,0.0915425604590791,1.0,7,0.0,0.8562874251497006,2.0
3,0.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
1,1.0,0.5,0.15614935685983644,1.0,0,1.0,0.02994011976047904,4.0
1,0.0,0.6,0.1629418538832393,0.0,1,0.0,0.03592814371257485,4.0
3,0.0,0.1,0.054457088204867964,1.0,5,0.0,0.8562874251497006,2.0
1,0.0,0.3,0.054105752151933334,0.0,0,1.0,0.017964071856287425,3.0
3,0.0,0.3,0.02976597115140632,1.0,2,0.0,0.8922155688622755,3.0
2,1.0,0.4,0.02049460308785353,0.0,0,1.0,0.467065868263473,3.0
3,0.0,0.2,0.015927234399703318,1.0,0,1.0,0.8742514970059879,2.0
3,1.0,0.2,0.015478304998731287,1.0,6,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.01690316788007729,1.0,2,0.0,0.8922155688622755,3.0
2,0.0,0.4,0.02049460308785353,0.0,0,1.0,0.467065868263473,3.0
3,1.0,0.2,0.0915425604590791,1.0,7,0.0,0.8742514970059879,2.0
2,0.0,0.3,0.1434622216149747,1.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.3,0.028204477582807964,1.0,1,0.0,0.8922155688622755,3.0
3,0.0,0.4,0.11028048328225948,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.014931782249721859,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.015419748989908846,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.0,0.056604141861690715,1.0,2,0.0,0.41916167664670656,1.0
3,1.0,0.4,0.024359299670134484,0.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.017566802646731598,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.4,0.018542736127105577,1.0,0,1.0,0.9101796407185628,3.0
3,1.0,0.3,0.015205043624226571,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.4,0.09193293385122872,0.0,0,1.0,0.02395209580838324,3.0
2,1.0,0.2,0.02049460308785353,0.0,0,1.0,0.4431137724550898,2.0
3,1.0,0.4,0.030937091327855094,1.0,3,0.0,0.9101796407185628,3.0
3,0.0,0.2,0.0671051861105147,0.0,4,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.015712529034021042,0.0,0,1.0,0.8922155688622755,3.0
1,1.0,0.3,0.5133410106767122,1.0,5,0.0,0.017964071856287425,3.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.4,0.015712529034021042,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.01532215564187145,0.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.6,0.11941522065855993,1.0,1,0.0,0.03592814371257485,4.0
3,0.0,0.3,0.04016942205219292,1.0,3,0.0,0.8922155688622755,3.0
3,0.0,0.7,0.014151035465422675,1.0,0,1.0,0.9640718562874252,5.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.9,0.06763219018991666,1.0,0,1.0,0.053892215568862284,6.0
1,0.0,0.3,0.12367029063299045,1.0,1,0.0,0.017964071856287425,3.0
2,1.0,0.4,0.044892940097202974,1.0,1,0.0,0.467065868263473,3.0
2,0.0,0.4,0.05074854097944684,1.0,1,0.0,0.467065868263473,3.0
3,1.0,0.4,0.015419748989908846,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.015419748989908846,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.3,0.15085979739620947,0.0,1,0.0,0.017964071856287425,3.0
3,0.0,0.4,0.016883649210469816,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.5,0.015478304998731287,1.0,2,0.0,0.9281437125748504,4.0
3,0.0,0.4,0.015419748989908846,0.0,0,1.0,0.9101796407185628,3.0
3,1.0,0.3,0.014931782249721859,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.015185524954619091,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.5,0.015419748989908846,1.0,0,1.0,0.9281437125748504,4.0
3,1.0,0.3,0.047137587102063117,0.0,1,0.0,0.8922155688622755,3.0
1,0.0,0.6,0.10149708195889368,0.0,0,1.0,0.03592814371257485,4.0
3,1.0,0.2,0.028204477582807964,1.0,1,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.3,0.0191868522241524,0.0,1,0.0,0.8922155688622755,3.0
3,1.0,0.2,0.028223996252415437,1.0,0,1.0,0.8742514970059879,2.0
3,0.0,0.3,0.015478304998731287,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.9,0.015126968945796654,1.0,0,1.0,1.0,6.0
2,0.0,0.4,0.04098920617570707,1.0,1,0.0,0.467065868263473,3.0
1,0.0,0.3,0.4831261101243339,1.0,1,0.0,0.017964071856287425,3.0
3,1.0,0.0,0.06105439853219605,1.0,6,0.0,0.8383233532934131,1.0
2,0.0,0.3,0.1434622216149747,0.0,2,0.0,0.4550898203592814,3.0
3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.4,0.05869263950969101,0.0,1,0.0,0.467065868263473,3.0
2,1.0,0.4,0.02537427048972342,1.0,0,1.0,0.467065868263473,3.0
1,0.0,0.7,0.15085979739620947,0.0,1,0.0,0.041916167664670656,5.0
3,0.0,0.2,0.02193898463880702,1.0,1,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.015126968945796654,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.013936330099740402,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.3,0.04364374524232428,1.0,2,0.0,0.8922155688622755,3.0
3,0.0,0.6,0.01362403138602073,0.0,0,1.0,0.9461077844311376,4.0
3,0.0,0.4,0.015419748989908846,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.013760662073273084,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.6,0.028302070930845358,1.0,1,0.0,0.9461077844311376,4.0
2,1.0,0.4,0.05074854097944684,1.0,1,0.0,0.467065868263473,3.0
2,0.0,0.3,0.02537427048972342,1.0,0,1.0,0.4550898203592814,3.0
2,0.0,0.3,0.02937559775925673,0.0,0,1.0,0.4550898203592814,3.0
1,1.0,0.2,0.05129506372845627,0.0,2,0.0,0.011976047904191616,2.0
1,0.0,0.5,0.10364413561571643,1.0,1,0.0,0.02994011976047904,4.0
3,0.0,0.2,0.01799621337809615,1.0,0,1.0,0.8742514970059879,2.0
1,0.0,0.3,0.15458786329123808,1.0,0,1.0,0.017964071856287425,3.0
3,1.0,0.3,0.02976597115140632,1.0,2,0.0,0.8922155688622755,3.0
3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.3,0.030937091327855094,1.0,1,0.0,0.8922155688622755,3.0
3,0.0,0.2,0.0131751019850487,1.0,0,1.0,0.8742514970059879,2.0
2,0.0,0.2,0.022446470048601487,1.0,0,1.0,0.4431137724550898,2.0
2,0.0,0.2,0.07173111080748737,1.0,2,0.0,0.4431137724550898,2.0
3,0.0,0.3,0.015224562293834053,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.1,0.0671051861105147,0.0,4,0.0,0.8562874251497006,2.0
2,0.0,0.5,0.05074854097944684,1.0,2,0.0,0.4790419161676647,4.0
2,0.0,0.5,0.02537427048972342,1.0,0,1.0,0.4790419161676647,4.0
2,0.0,0.6,0.02445689301817188,0.0,0,1.0,0.4910179640718562,4.0
1,1.0,0.3,0.12999433958581386,1.0,1,0.0,0.017964071856287425,3.0
3,0.0,0.7,0.015712529034021042,1.0,0,1.0,0.9640718562874252,5.0
3,0.0,0.5,0.028302070930845358,1.0,2,0.0,0.9281437125748504,4.0
3,0.0,0.3,0.014268147483067557,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.6,0.11980559405070952,0.0,1,0.0,0.03592814371257485,4.0
3,1.0,0.2,0.015087931606581697,1.0,0,1.0,0.8742514970059879,2.0
3,0.0,0.4,0.015712529034021042,0.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.01690316788007729,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.3,0.1357523471200203,1.0,10,0.0,0.8922155688622755,3.0
3,0.0,0.6,0.031425058068042085,0.0,1,0.0,0.9461077844311376,4.0
2,1.0,0.5,0.0307419046317803,0.0,0,1.0,0.4790419161676647,4.0
3,0.0,0.3,0.015185524954619091,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.2,0.01690316788007729,1.0,0,1.0,0.8742514970059879,2.0
3,0.0,0.0,0.07746959967208635,1.0,5,0.0,0.8383233532934131,1.0
3,0.0,0.1,0.040071828704155515,0.0,2,0.0,0.8562874251497006,2.0
1,1.0,0.3,0.10735268284113757,1.0,1,0.0,0.017964071856287425,3.0
3,1.0,0.6,0.054457088204867964,1.0,5,0.0,0.9461077844311376,4.0
1,0.0,0.3,0.05061191029219449,1.0,0,1.0,0.017964071856287425,3.0
3,0.0,0.4,0.11028048328225948,1.0,0,1.0,0.9101796407185628,3.0
1,0.0,0.8,0.0653875431850565,0.0,0,1.0,0.04790419161676647,5.0
3,0.0,0.1,0.05685788456658794,1.0,5,0.0,0.8562874251497006,2.0
3,1.0,0.0,0.021724279273124744,1.0,2,0.0,0.8383233532934131,1.0
3,0.0,0.3,0.015478304998731287,0.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.7,0.059922315694962223,1.0,0,1.0,0.041916167664670656,5.0
3,0.0,0.2,0.01532215564187145,1.0,2,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.049714051490250426,1.0,4,0.0,0.8922155688622755,3.0
1,1.0,0.6,0.0560381004430738,1.0,0,1.0,0.03592814371257485,4.0
2,0.0,0.4,0.02537427048972342,0.0,0,1.0,0.467065868263473,3.0
3,0.0,0.5,0.0,1.0,0,1.0,0.9281437125748504,4.0
3,1.0,0.3,0.1357523471200203,1.0,10,0.0,0.8922155688622755,3.0
2,0.0,0.3,0.02937559775925673,1.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.1,0.061269103897878326,1.0,6,0.0,0.8562874251497006,2.0
2,0.0,0.0,0.07612281146917026,0.0,3,0.0,0.41916167664670656,1.0
3,1.0,0.1,0.04299962914527746,1.0,2,0.0,0.8562874251497006,2.0
1,0.0,0.3,0.09759334803739778,0.0,0,1.0,0.017964071856287425,3.0
3,1.0,0.3,0.030253937891593308,1.0,1,0.0,0.8922155688622755,3.0
1,0.0,0.6,0.05182206780785822,1.0,0,1.0,0.03592814371257485,4.0
3,0.0,0.5,0.030253937891593308,1.0,2,0.0,0.9281437125748504,4.0
3,0.0,0.5,0.015419748989908846,0.0,0,1.0,0.9281437125748504,4.0
2,1.0,0.4,0.02537427048972342,0.0,0,1.0,0.467065868263473,3.0
2,0.0,0.2,0.02537427048972342,0.0,0,1.0,0.4431137724550898,2.0
3,1.0,0.2,0.01532215564187145,1.0,1,0.0,0.8742514970059879,2.0
2,0.0,0.0,0.05074854097944684,1.0,2,0.0,0.41916167664670656,1.0
1,1.0,0.6,0.054105752151933334,1.0,0,1.0,0.03592814371257485,4.0
1,1.0,0.7,0.28598754708879043,0.0,0,1.0,0.041916167664670656,5.0
3,0.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.5,0.016395682470282825,1.0,1,0.0,0.9281437125748504,4.0
3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
2,1.0,0.3,0.02537427048972342,0.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.4,0.018542736127105577,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.3,0.1357523471200203,0.0,10,0.0,0.8922155688622755,3.0
3,0.0,0.4,0.01268713524486171,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.6,0.014111998126207718,0.0,0,1.0,0.9461077844311376,4.0
3,0.0,0.2,0.015712529034021042,1.0,0,1.0,0.8742514970059879,2.0
3,1.0,0.0,0.020416528409423613,1.0,1,0.0,0.8383233532934131,1.0
3,0.0,0.4,0.030937091327855094,1.0,1,0.0,0.9101796407185628,3.0
3,0.0,0.3,0.03667558019245408,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.2,0.015126968945796654,1.0,0,1.0,0.8742514970059879,2.0
1,0.0,0.5,0.060507875783186615,0.0,0,1.0,0.02994011976047904,4.0
3,0.0,0.3,0.013760662073273084,0.0,0,1.0,0.8922155688622755,3.0
2,1.0,0.4,0.04098920617570707,1.0,0,1.0,0.467065868263473,3.0
3,0.0,0.3,0.014151035465422675,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.4,0.02537427048972342,1.0,0,1.0,0.467065868263473,3.0
3,0.0,0.3,0.015126968945796654,0.0,1,0.0,0.8922155688622755,3.0
1,1.0,0.4,0.2211074893135284,1.0,1,0.0,0.02395209580838324,3.0
3,1.0,0.3,0.015478304998731287,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.5,0.0527004079401948,0.0,1,0.0,0.4790419161676647,4.0
1,1.0,0.4,0.14890793043546152,0.0,0,1.0,0.02395209580838324,3.0
2,0.0,0.4,0.02049460308785353,1.0,0,1.0,0.467065868263473,3.0
3,0.0,0.2,0.015712529034021042,1.0,0,1.0,0.8742514970059879,2.0
2,0.0,0.3,0.02537427048972342,1.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.6,0.015712529034021042,0.0,0,1.0,0.9461077844311376,4.0
3,0.0,0.3,0.015419748989908846,1.0,0,1.0,0.8922155688622755,3.0
1,0.0,0.5,0.175668026467316,0.0,1,0.0,0.02994011976047904,4.0
3,0.0,0.3,0.018249956082993384,0.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.2,0.02049460308785353,1.0,0,1.0,0.4431137724550898,2.0
3,0.0,0.3,0.014151035465422675,0.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.2,0.02537427048972342,1.0,0,1.0,0.4431137724550898,2.0
3,1.0,0.3,0.049714051490250426,1.0,4,0.0,0.8922155688622755,3.0
1,1.0,0.4,0.1629418538832393,0.0,1,0.0,0.02395209580838324,3.0
3,0.0,0.4,0.015185524954619091,1.0,0,1.0,0.9101796407185628,3.0
2,0.0,0.7,0.0263502039700974,1.0,0,1.0,0.5029940119760479,5.0
3,1.0,0.1,0.061269103897878326,1.0,6,0.0,0.8562874251497006,2.0
2,0.0,0.3,0.02049460308785353,1.0,0,1.0,0.4550898203592814,3.0
3,1.0,0.3,0.014736595553647062,0.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.6,0.05074854097944684,0.0,1,0.0,0.4910179640718562,4.0
2,1.0,0.1,0.05123650771963383,1.0,2,0.0,0.4311377245508982,2.0
2,0.0,0.2,0.02049460308785353,1.0,0,1.0,0.4431137724550898,2.0
2,0.0,0.4,0.02396892627798489,1.0,0,1.0,0.467065868263473,3.0
3,1.0,0.3,0.028204477582807964,0.0,1,0.0,0.8922155688622755,3.0
3,1.0,0.3,0.030253937891593308,1.0,1,0.0,0.8922155688622755,3.0
2,0.0,0.4,0.02049460308785353,1.0,0,1.0,0.467065868263473,3.0
3,0.0,0.3,0.013916811430132922,0.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.4,0.014111998126207718,1.0,0,1.0,0.9101796407185628,3.0
1,0.0,0.6,0.175668026467316,1.0,2,0.0,0.03592814371257485,4.0
3,1.0,0.3,0.015185524954619091,0.0,0,1.0,0.8922155688622755,3.0
2,1.0,0.3,0.028302070930845358,1.0,2,0.0,0.4550898203592814,3.0
1,0.0,0.5,0.10257060878730506,0.0,2,0.0,0.02994011976047904,4.0
2,0.0,0.7,0.05074854097944684,1.0,1,0.0,0.5029940119760479,5.0
3,0.0,0.3,0.014151035465422675,1.0,0,1.0,0.8922155688622755,3.0
3,1.0,0.4,0.020416528409423613,1.0,2,0.0,0.9101796407185628,3.0
1,0.0,0.8,0.05182206780785822,1.0,0,1.0,0.04790419161676647,5.0
3,0.0,0.4,0.031425058068042085,0.0,1,0.0,0.9101796407185628,3.0
3,1.0,0.5,0.039447231276716184,1.0,2,0.0,0.9281437125748504,4.0
3,1.0,0.4,0.02976597115140632,1.0,2,0.0,0.9101796407185628,3.0
1,1.0,0.3,0.15458786329123808,0.0,0,1.0,0.017964071856287425,3.0
1,1.0,0.4,0.16883649210469814,1.0,0,1.0,0.02395209580838324,3.0
1,1.0,0.4,1.0,0.0,0,1.0,0.02395209580838324,3.0
2,1.0,0.6,0.05074854097944684,1.0,1,0.0,0.4910179640718562,4.0
3,0.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
3,0.0,0.0,0.061269103897878326,0.0,6,0.0,0.8383233532934131,1.0
1,0.0,0.7,0.15546620342357464,1.0,2,0.0,0.041916167664670656,5.0
1,0.0,0.5,0.0,1.0,0,1.0,0.02994011976047904,4.0
3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
2,0.0,0.5,0.02049460308785353,1.0,0,1.0,0.4790419161676647,4.0
3,0.0,0.2,0.07746959967208635,1.0,5,0.0,0.8742514970059879,2.0
3,0.0,0.3,0.015185524954619091,1.0,1,0.0,0.8922155688622755,3.0
1,1.0,0.7,0.2995335037963812,1.0,1,0.0,0.041916167664670656,5.0
1,1.0,0.4,0.2647317158862452,1.0,0,1.0,0.02395209580838324,3.0
1,0.0,0.3,0.060507875783186615,1.0,0,1.0,0.017964071856287425,3.0
3,0.0,0.3,0.0,1.0,0,1.0,0.8922155688622755,3.0
2,1.0,0.5,0.03806140573458513,1.0,1,0.0,0.4790419161676647,4.0
1,0.0,0.5,0.057970448734214274,0.0,1,0.0,0.02994011976047904,4.0
3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
1,1.0,0.8,0.1521675482599106,1.0,1,0.0,0.04790419161676647,5.0
3,1.0,0.6,0.015126968945796654,1.0,0,1.0,0.9461077844311376,4.0
2,0.0,0.3,0.0,1.0,0,1.0,0.4550898203592814,3.0
3,0.0,0.1,0.05685788456658794,1.0,5,0.0,0.8562874251497006,2.0
3,1.0,0.4,0.0395253059551461,0.0,2,0.0,0.9101796407185628,3.0
3,0.0,0.8,0.015126968945796654,1.0,0,1.0,0.9820359281437124,5.0
3,0.0,0.4,0.01532215564187145,1.0,0,1.0,0.9101796407185628,3.0
3,0.0,0.2,0.018542736127105577,1.0,0,1.0,0.8742514970059879,2.0
3,0.0,0.2,0.015712529034021042,1.0,0,1.0,0.8742514970059879,2.0
